2030,,,,,,,2040,,,,,
,México,Tipo (D: dato duro) /T: Tendecia),Fuente,Mundo,Tipo (D: dato duro) /T: Tendecia),Fuente,México ,Tipo (D: dato) /T: Tendecia),Fuente,Mundo,Tipo (D: dato) /T: Tendecia),Fuente 
19,La falta de compromiso con una entidad social más amplia que la familia tendrá sus efectos: se complicará asumir un sueño común más allá de la inmediatez del círculo primario,T,https://www.nexos.com.mx/?p=14125,"Desaparecerán las iglesias nacionales, como los anglicanos en Ingalterra y los calvinistas en Holanda",T,https://www.eltiempo.com/archivo/documento/CMS-16498535,La adaptabilidad será muy importante para afrontar los retos que se presentarán en el 2040,T,https://www.cepal.org/sites/default/files/events/files/01_jorge_mattar.pdf,muchos trabajos realizados actualmente por humanos estarán en manos de la IA,T,https://www.mpi.org/blog/article/forget-2020-the-event-trends-of-2040-will-usher-in-a-new-frontier
20,Es posible que la prioridad de los mexicanos siga siendo tener estabilidad y mejora en el empleo.,T,https://www.nexos.com.mx/?p=14125,"En países como Noruega y Suecia el jefe de Estado es la cabeza de la iglesia. Esas teocracias nacionalistas darán paso a que el jefe de Estado, incluso, ni siquiera practique una religión",T,https://www.eltiempo.com/archivo/documento/CMS-16498536,La visión holística será muy importante para afrontar los retos que se presentarán en el futuro,T,https://www.cepal.org/sites/default/files/events/files/01_jorge_mattar.pdf,"Los avances en los sectores de la energía, Internet, el transporte, la neurociencia y más inevitablemente cambiarán la forma en que interactuamos con el mundo que nos rodea, esencialmente redefiniendo lo que nos hace humanos.",T,https://www.mpi.org/blog/article/forget-2020-the-event-trends-of-2040-will-usher-in-a-new-frontier
21,Es posible que la aspiración de los mexicanos con respecto al país se siga centrando en tener una vida política de mayor calidad,T,https://www.nexos.com.mx/?p=14125,Los cristianos serán el 31% de la población mundial,D,https://www.pewforum.org/2015/04/02/religious-projection-table/2040/percent/Latin_America-Caribbean/,La creatividad será muy importante para afrontar los retos que se presentarán en el 2040,T,https://www.cepal.org/sites/default/files/events/files/01_jorge_mattar.pdf,"Casi uno de cada cuatro estadounidenses no estará afiliado a la religión, incluyendo el 30% de los niños de 30 a 44 años",D,https://www.axios.com/being-30-in-2040-future-new-world-us-diversity-2d3ba6db-3345-4ec4-97a8-9282fe1cee67.html
22,Los líderes del país deberán atender la satisfacción de aspiraciones individuales y de calidad de la vida cotidiana.,T,https://www.nexos.com.mx/?p=14125,Los musulmanes serán el 26.5% de la población mundial,D,https://www.pewforum.org/2015/04/02/religious-projection-table/2040/percent/Latin_America-Caribbean/,La imaginación será muy importante para aftontar lo retos que se presentarán en el futuro,T,https://www.cepal.org/sites/default/files/events/files/01_jorge_mattar.pdf,"A nivel mundial, habrá tantos musulmanes de 30 a 44 años como cristianos de la misma edad",D,https://www.axios.com/being-30-in-2040-future-new-world-us-diversity-2d3ba6db-3345-4ec4-97a8-9282fe1cee67.html
23,"Para fortalecer la confianza de la población con sus gobernantes hará falta superar la percepción generalizada de que en México no puede haber un ""buen gobierno""",T,https://www.nexos.com.mx/?p=14125,"Los ""no afiliados"" a religiónes serán el 14.8% de la población mundial",D,https://www.pewforum.org/2015/04/02/religious-projection-table/2040/percent/Latin_America-Caribbean/,En los mexicanos podría permanecer la idea de que el  pasado fue mejor,T,https://www.nexos.com.mx/?p=14125,La tecnología y el comportamiento humano estarán aún más entrelazados: el 70% de las relaciones podrían comenzar en línea a través de empresas que recogen datos personales,D,https://www.axios.com/being-30-in-2040-future-new-world-us-diversity-2d3ba6db-3345-4ec4-97a8-9282fe1cee67.html
24,"Es posible que las principales ""figuras de confianza"" en México seguirán siendo maestros, médicos y ministros de culto",T,https://www.nexos.com.mx/?p=14125,Los hindús serán el 15.2% de la población mundial,D,https://www.pewforum.org/2015/04/02/religious-projection-table/2040/percent/Latin_America-Caribbean/,En los mexicanos podría permanecer la percepción de que sus conciudadanos carecen de rumbo,T,https://www.nexos.com.mx/?p=14125,"Hoy, los miembros del Congreso luchan por entender cómo funciona Facebook. En el futuro, se enfrentarán a problemas normativos y éticos aún más complejos en un mundo de inteligencia artificial, tecnología avanzada de modificación genética y vehículos automatizados.",T,https://www.axios.com/being-30-in-2040-future-new-world-us-diversity-2d3ba6db-3345-4ec4-97a8-9282fe1cee67.html
25,"Es posible que los mexicanos permanezcan desconfiando de toda figura de autoridad política (jueces, partidos políticos, presidentes e inlcuso policías). ",T,https://www.nexos.com.mx/?p=14125,Los budistas serán el 6.1% de la población mundial,D,https://www.pewforum.org/2015/04/02/religious-projection-table/2040/percent/Latin_America-Caribbean/,En los mexicanos podría permanecer la idea de que los sueños son inalcanzables,T,https://www.nexos.com.mx/?p=14125,"En 2040, 30 años de edad, junto con el 40% de la población de EE.UU. habrán nacido después de la introducción del iPhone, de acuerdo con las proyecciones del censo. Sus vidas enteras serán documentadas por las redes sociales",D,https://www.axios.com/being-30-in-2040-future-new-world-us-diversity-2d3ba6db-3345-4ec4-97a8-9282fe1cee67.html
26,Es probable que los niveles socioeconómicos altos sigan confiando menos en los ministros de culto. ,T,https://www.nexos.com.mx/?p=14125,Los judíos serán el 0.2% de la población mundial,D,https://www.pewforum.org/2015/04/02/religious-projection-table/2040/percent/Latin_America-Caribbean/,"El turista que llegará a visitar México será más sofisticado, que busca vivir experiencias.",T,milenio.com/negocios/el-turismo-del-futuro,"Se estima que para 2040, el 70 % de las parejas se reunirán en línea gracias a las tecnologías que permiten desde el ADN y el comportamiento que coincide con citas virtuales totalmente sensoriales",D,https://www.scp-centre.org/wp-content/uploads/2018/08/Future_Trend_Poster.pdf
27,Es probable que los niveles socioeconómicos más bajos sigan confiando más en los ministros de culto. ,T,https://www.nexos.com.mx/?p=14125,La religiosidad popular sera el 5.4% de la población mundial,D,https://www.pewforum.org/2015/04/02/religious-projection-table/2040/percent/Latin_America-Caribbean/,Los turistas del futuro serán más responsable en temas sociales y ambientales,T,milenio.com/negocios/el-turismo-del-futuro,Los científicos podrán borrar y restaurar recuerdos,T,https://www.quantumrun.com/future-timeline/2040/future-timeline-subpost-business
28,"Es posible que los personajes en los que los mexicanos sigan depositando su confianza sean los tradicionales del siglo XIX, aquellos no asociados a las elites ni políticas ni económicas modernas",T,https://www.nexos.com.mx/?p=14125,"The greatest challenge of our time is automation, and by 2030 we’ll be experiencing its full effects on our economy and society",T,https://www.nytimes.com/interactive/2019/12/26/opinion/2020s-future-predictions.html,"Es posible que los mexicanos sigan percribiéndose como no determinantes para la transformación del país, en caso de que no incremente su capacidad de influencia política. ",T,https://www.nexos.com.mx/?p=14125,El número promedio de dispositivos conectados por persona es 19 ,T,https://www.quantumrun.com/future-timeline/2040/future-timeline-subpost-business
29,En los mexicanos podría permanecer la idea de que se ha arraigado en la población una mentalidad de perdedores,T,https://www.nexos.com.mx/?p=14125,"En América Latina, alrededor del 37% de las tareas que hoy realizan seres humanos serán automatizadas en 2030",D,https://www.estrategiaynegocios.net/lasclavesdeldia/1004457-330/10-tendencias-que-est%C3%A1n-cambiando-al-mundo,El reto para los líderes del país incluirá articular un sueño en común. ,T,https://www.nexos.com.mx/?p=14125,"El número global de dispositivos conectados llegará a 171,570,000,000",D,https://www.quantumrun.com/future-timeline/2040/future-timeline-subpost-business
30,"Según los mexicanos, uno de los principales inhibidores del futuro en México es la mala calidad de la educación ",T,https://www.nexos.com.mx/?p=14125,"Para 2030, la religión tendrá una influencia más fuerte sobre los jóvenes.",T,https://www.nytimes.com/interactive/2019/12/26/opinion/2020s-future-predictions.html,El reto para los líderes del país incluirá conciliar las aspiraciones individuales y colectivas. ,T,https://www.nexos.com.mx/?p=14125,"Implantes de memoria podrían ser usados para acelerar el tiempo de condena de prisioneros, permitiendo que cumplan con su sentencia en un día",T,https://www.quantumrun.com/future-timeline/2040/future-timeline-subpost-business
31,"Según los mexicanos, uno de los principales inhibidores del futuro en México es  la mala calidad del empleo",T,https://www.nexos.com.mx/?p=14125,"El hospital tal como lo conocemos estará saliendo, con menos accidentes gracias a los autos sin conductor y grandes avances en medicina preventiva y personalizada. Bisturís y donantes de órganos están fuera, pequeños tubos robóticos y órganos bioimpresos están dentro.",T,https://www.weforum.org/agenda/2016/11/8-predictions-for-the-world-in-2030/,El reto para los líderes del país incluirá hacer explícitas las metas a las que se quiere llegar como nación. ,T,https://www.nexos.com.mx/?p=14125,La NASA se asocia con compañías privadas para aterrizar el primer humano en Marte entre 2033 y 2036,T,https://www.quantumrun.com/future-timeline/2035
32,"Según los mexicanos, uno de los principales inhibidores del futuro en México será la mala calidad del empleo",T,https://www.nexos.com.mx/?p=14125,"""Para la década de 2030, estaremos listos para mover a los humanos hacia el Planeta Rojo"".",T,https://www.weforum.org/agenda/2016/11/8-predictions-for-the-world-in-2030/,"Debido al rápido avance de la tecnología, la transformación se convertirá en un 'modus operandi' para todos",T,https://expansion.mx/carrera/2019/09/19/en-2030-habran-desaparecido-50-de-los-trabajos-existen-hoy,"
Las impresoras 3D capaces de imprimir órganos se utilizan ampliamente en los hospitales.",T,https://www.quantumrun.com/future-timeline/2035
33,"Según los mexicanos, uno de los principales inhibidores del futuro en México es el incumplimiento de la ley",T,https://www.nexos.com.mx/?p=14125,"
Órganos producidos por impresoras 3D.",T,https://www.fastcompany.com/90489909/the-coronavirus-is-a-ticking-time-bomb-for-the-worlds-displaced-people,"Debido al rápido avance de la tecnología, tendremos que estar listos para saltar de una fase a otra en cualquier momento",T,https://expansion.mx/carrera/2019/09/19/en-2030-habran-desaparecido-50-de-los-trabajos-existen-hoy,"
La nueva tecnología de trenes viaja 3 veces más rápido que los aviones",T,https://www.quantumrun.com/future-timeline/2035
34,"Según los mexicanos, uno de los principales inhibidores del futuro en México es la falta de esfuerzo conjunto entre la población",T,https://www.nexos.com.mx/?p=14125,"
Conducir un automóvil será ilegal para 2030 porque ahora tenemos la tecnología para prevenir accidentes de tránsito mortales",T,https://techcrunch.com/2015/08/11/driving-your-car-will-soon-be-illegal/#.5c4gkl2:7swo,La penetración de Internet en los hogares impulsará la carrera hacia la innovación para el desarrollo de nuevas tecnologías,T,https://www2.deloitte.com/mx/es/pages/dnoticias/articles/impacto-de-TI-en-hogares-mexico.html,"La mayoría de los vehículos contienen comunicaciones de vehículo a vehículo (V2V) para transmitir información sobre velocidad, rumbo, estado del freno",T,https://www.quantumrun.com/future-timeline/2035
35,"En el sector turismo, el futuro estará enfocado en generar experiencias únicas.",T,milenio.com/negocios/el-turismo-del-futuro,"
En el sector privado, los drones podrían usarse para fumigar cultivos y patrullas de seguridad perimetral en sitios como plantas de energía, y para inspeccionar la seguridad de infraestructura remota como cables de energía y tuberías.",T,https://www.nydailynews.com/news/national/commercial-drone-invasion-not-article-1.1541180,El concepto de Smart Home estará presente en la cotidianidad de los mexicanos,T,https://www2.deloitte.com/mx/es/pages/dnoticias/articles/impacto-de-TI-en-hogares-mexico.html,"
Los humanos pueden ""mejorar"" sus sentidos con implantes que detectan más señales (ondas de radio, rayos X, etc.)",T,https://www.quantumrun.com/future-timeline/2035
36,El cambio de perfil en los turistas del futuro (que los hará más responsables sociale y ambientalmente) permitirá al sector turismo desarrollar proyectos que permitan cuidar del entorno de una forma más integral,T,milenio.com/negocios/el-turismo-del-futuro,"En 2030, la Inteligencia Artificial habrá modificado la forma en la que nos desplazamos hasta el trabajo, cómo son educados nuestros hijos y cómo cuidamos de nuestra salud.",T,https://www.ffi.no/en/research/global-trends-and-military-operations,"Smart Home facilitará la comodidad, la seguridad y el ahorro, cambiando algunas de las actividades cotidianas",T,https://www2.deloitte.com/mx/es/pages/dnoticias/articles/impacto-de-TI-en-hogares-mexico.html,La tecnología de edición de genes permite a los científicos curar enfermedades genéticas,T,https://www.quantumrun.com/future-timeline/2035
37,"El turismo transicionará hacia un concepto de atención integral que incorpora salud, integridad física, psicológica, económica y medioambiental de los visitantes",T,milenio.com/negocios/el-turismo-del-futuro,El Islam se convertirá en la mayor religión del mundo a medida que aumenten los nacimientos musulmanes,T,https://www.cnbc.com/2017/04/06/islam-to-become-the-worlds-largest-religion-as-muslim-births-increase.html,El Smart Home hará posible la programación de actividades de limpieza,T,https://www2.deloitte.com/mx/es/pages/dnoticias/articles/impacto-de-TI-en-hogares-mexico.html,"
la participación de las ventas mundiales de automóviles realizadas por vehículos autónomos equivale al 38%",D,https://www.quantumrun.com/future-timeline/2035
38,El turismo transicionará hacia un concepto de atención integral que pondrá en el centro el bienestar de los prestadores de servicios y de las comunidades receptoras del turismo,T,milenio.com/negocios/el-turismo-del-futuro,"Oficialmente una nación atea y un lugar donde el gobierno cierra algunas iglesias cristianas, China está en camino de convertirse en el hogar de más cristianos que cualquier país en el mundo para 2030.",T,https://www.houstonchronicle.com/news/houston-texas/houston/article/China-officially-atheist-could-have-more-12633079.php,El Smart Home hará posible el monitoreo remoto con cámaras de vigilancia,T,https://www2.deloitte.com/mx/es/pages/dnoticias/articles/impacto-de-TI-en-hogares-mexico.html,"
Las ventas mundiales de vehículos eléctricos alcanzan los 16.466.667",D,https://www.quantumrun.com/future-timeline/2035
39,El turismo religioso será un nicho de gran potencial en México.,T,milenio.com/negocios/el-turismo-del-futuro,LOS HUMANOS SE CONVERTIRÁN EN HÍBRIDOS PARA 2030,T,https://www.independent.co.uk/life-style/gadgets-and-tech/news/humans-will-become-hybrids-by-2030-says-leading-google-engineer-with-tiny-robots-scurrying-around-10296200.html,El Smart Home hará posible el consumo inteligente de energía eléctrica.,T,https://www2.deloitte.com/mx/es/pages/dnoticias/articles/impacto-de-TI-en-hogares-mexico.html,"Transporte, producción y agricultura casi 90% automatizados",D,https://www.quantumrun.com/future-timeline/2039/future-timeline-subpost-technology
40,Es posible que el turismo religioso siga teniendo como principal atracción a la Basílica de Guadalupe. ,T,milenio.com/negocios/el-turismo-del-futuro,"En el futuro cercano, los cerebros humanos serán ayudados por implantes nanobot que nos convertirán en ""híbridos""",T,https://www.independent.co.uk/life-style/gadgets-and-tech/news/humans-will-become-hybrids-by-2030-says-leading-google-engineer-with-tiny-robots-scurrying-around-10296200.html,La adopción de nuevas tecnologías hará que México se enfrente a nuevos y grandes retos,T,https://www2.deloitte.com/mx/es/pages/dnoticias/articles/impacto-de-TI-en-hogares-mexico.html,Grabación de memoria y repetición es posible,T,https://www.quantumrun.com/future-timeline/2039/future-timeline-subpost-technology
41,"México tiene mucho que ofrecer en la siguiente década a los turistas religiosos: 84 catedrales; 196 iglesias, conventos y ex conventos con historia, museos religiosos y lugares de acontecimientos de mártires ",D,milenio.com/negocios/el-turismo-del-futuro,"Para 2030, los nanobots fluirán a través de nuestros cuerpos Esta flota de pequeños robots te mantendría sano y conectado a la nube.",T,https://futurism.com/kurzweil-by-2030-nanobots-will-flow-throughout-our-bodies,La automatización será más lenta en el rubro transportista comparado con otras industrias.,T,http://auder.mx/2019/02/25/transporte-2040-automatizacion-tecnologia-y-empleo/,"Number of Internet users worldwide reaches 4,840,000,000",D,https://www.quantumrun.com/future-timeline/2039/future-timeline-subpost-technology
42,El potencial del turismo religioso en México deberá ser mejor aprovechado en el 2030.,T,milenio.com/negocios/el-turismo-del-futuro,"LOS ROBOTS REALIZARÁN MÁS CIRUGÍAS QUE CIRUGÍAS HUMANAS, Y LA MAYORÍA DE LAS CIRUGÍAS OCURRIRÁN FUERA DE LOS HOSPITALES",T,http://futureof.org/medicine-1-0/the-future-of-surgery/,"La irrupción de la automatización eliminará ciertos trabajos al reemplazar funciones, pero también se crearán nuevas tareas a desarrollar",T,http://auder.mx/2019/02/25/transporte-2040-automatizacion-tecnologia-y-empleo/,El número de musulmanes será casi igual al número de cristianos en todo el mundo,T,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
43,"Debido al rápido avance de la tecnología, la transformación tendrá que ser una constante",T,https://expansion.mx/carrera/2019/09/19/en-2030-habran-desaparecido-50-de-los-trabajos-existen-hoy,Aumento del uso de exoesqueleto para impulsar el mercado de mejora humana a más de 271.600 millones de dólares para 2030,T,https://www.marketwatch.com/press-release/increasing-exoskeleton-usage-to-drive-human-enhancement-market-to-more-than-2716-billion-by-2030-ps-intelligence-2020-04-08?mod=mw_quote_news,Los medios de transporte demorarán más en implementarse que otras tecnologías de automatización utilizadas en otras industrias.,T,http://auder.mx/2019/02/25/transporte-2040-automatizacion-tecnologia-y-empleo/,"Los ateos, agnósticos y otras personas que no se afilian a ninguna religión - aunque va en aumento en países como Estados Unidos y Francia - constituirán una proporción decreciente de la población total del mundo.",T,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
44,"Debido al rápido avance de la tecnología, la transformación tendrá que ser una filosofía de vida",T,https://expansion.mx/carrera/2019/09/19/en-2030-habran-desaparecido-50-de-los-trabajos-existen-hoy,"Durante el período de previsión, se espera que el mercado de dispositivos portátiles de IA experimente el crecimiento más rápido en la categoría sanitaria, debido a la creciente aplicación de los aparatos de control físico en la asistencia sanitaria, la creciente demanda de capacidades de control remoto y diagnóstico, y creciente adopción de gafas inteligentes por los médicos para realizar cirugías.",T,https://www.marketwatch.com/press-release/increasing-exoskeleton-usage-to-drive-human-enhancement-market-to-more-than-2716-billion-by-2030-ps-intelligence-2020-04-08?mod=mw_quote_news,La demanda global de trabajadores de transportes cambiará con la automatización: se necesitarán más trabajadores pero con menores tareas físicas a desarrollar,T,http://auder.mx/2019/02/25/transporte-2040-automatizacion-tecnologia-y-empleo/,"La población budista global será aproximadamenteimadamente del mismo tamaño que en 2010, mientras que las poblaciones hindú y judía serán más grandes de lo que son hoy.",T,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
45,Seguirá una creciente secularización de la sociedad,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,"Los desarrollos biónicos pueden incluso llegar a mejorar nuestros sentidos para 2035. Especialmente útiles para aquellos con problemas de vista y sonido, los implantes neuronales podrían ayudarnos a detectar señales que no podemos sin ayuda; como las ondas de radio y los rayos X, por ejemplo. Expandir nuestros sentidos también podría llevarnos a descubrir nuevos colores que otras criaturas pueden ver y que actualmente no podemos ver.",T,https://www.theguardian.com/lifeandstyle/2018/sep/22/regular-body-upgrades-what-will-humans-look-like-in-100-years,"El impacto de la tecnología sobre la fuerza laboral depende de una combinación de factores: capacidades, tareas, costos de trabajo ",T,http://auder.mx/2019/02/25/transporte-2040-automatizacion-tecnologia-y-empleo/,"En Europa, los musulmanes representarán el 10% de la población total",D,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
46,Seguirá una creciente declinación de la religión,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,"Para 2030, espero que los seres humanos vayan regularmente a tiendas de carrocerías para actualizaciones",T,https://www.theguardian.com/lifeandstyle/2018/sep/22/regular-body-upgrades-what-will-humans-look-like-in-100-years,"Aunque las naves autónomas son una realidad cada vez más probable, esto no necesariamente significa que habrá menos trabajadores, sino que su trabajo será diferente.",T,http://auder.mx/2019/02/25/transporte-2040-automatizacion-tecnologia-y-empleo/,"La India mantendrá una mayoría hindú, pero también tendrá la mayor población musulmana de cualquier país del mundo, superando a Indonesia.",T,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
47,La religión tendrá una menor influencia en los horizontes valorativos y pragmáticos de las personas.,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,Los órganos biónicos pueden superar y superarán a sus homólogos biológicos; para 2030,T,https://www.theguardian.com/lifeandstyle/2018/sep/22/regular-body-upgrades-what-will-humans-look-like-in-100-years,Los robots harán el 90% de las tareas domésticas,T,https://computerhoy.com/noticias/tecnologia/robots-tareas-domesticas-605643,"En los Estados Unidos, los cristianos disminuirán de más de tres cuartas partes de la población en 2010 a dos tercios en 2050",T,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
48,Las instituciones religiosas entrarán en un ciclo de debilitamiento,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,"podemos ser capaces de mejorar nuestros sentidos con implantes que detectan más señales como ondas de radio y rayos X, potencialmente dejando que las personas ciegas se muevan por ultrasonido.",T,https://www.theguardian.com/lifeandstyle/2018/sep/22/regular-body-upgrades-what-will-humans-look-like-in-100-years,"Las tareas domésticas se automatizarán por completo gracias a los robots, drones y mayordomos virtuales con Inteligencia Artificial.",T,https://computerhoy.com/noticias/tecnologia/robots-tareas-domesticas-605643,El judaísmo ya no será la mayor religión no cristiana,T,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
49,Las expresiones religiosas seguirán diversificándose,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,"La infografía también detalla cómo los trasplantes de órganos pueden ser cosa del pasado en 2030, con la impresión 3D que permite la creación de órganos y arterias simples. Más aún, la creación de andamios óseos artificiales utilizando software CAD e impresoras de inyección de tinta podría ayudar al proceso de curación de los huesos.",T,https://www.med-technews.com/features/see-what-the-bionic-body-of-the-future-looks-like/,Los dispositivos que conocemos hoy en día serán completados con otros nuevos aparatos inteligentes que nos harán la vida mucho más fácil.,T,https://computerhoy.com/noticias/tecnologia/robots-tareas-domesticas-605643,Los musulmanes serán más numerosos en los EE.UU. que las personas que se identifican como judíos sobre la base de la religión.,T,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
50,No se vislumbra una reconcentración del poder en la administración de los bienes simbólicos de salvación en pocas manos,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,"El progreso en la comprensión de la memoria humana y las funciones cerebrales será crítico para las futuras interfaces cerebro-máquina, mientras que los avances en la electrónica biocompatible flexible permitirán una mejor integración con el receptor de aumentos y recrear o mejorar las experiencias sensoriales",T,https://www.dni.gov/files/documents/GlobalTrends_2030.pdf,los hogares serán fortalezas digitales que se protegerán con sistemas de seguridad basados en datos biométricos de sus habitantes y en un software de reconocimiento facial.,T,https://www.que.es/comunicados/en-2040-los-hogares-seran-fortalezas-digitales-y-conviviremos-con-robots-ray-hammond.html,Cuatro de cada 10 cristianos del mundo vivirán en el África subsahariana,D,https://www.pewforum.org/2015/04/02/religious-projections-2010-2050/
51,"El fundamentalismo, su vertiente integrista, que busca generalizar a las sociedades el núcleo de sus creencias religiosas, no va a cesar en sus intentos de confesionalizar la vida pública",T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,Los investigadores apuntan a regenerar las extremidades humanas para 2030,T,https://today.uconn.edu/2015/11/researchers-aim-to-regenerate-human-limbs-by-2030/#,Convivir con robots será la norma,T,https://www.que.es/comunicados/en-2040-los-hogares-seran-fortalezas-digitales-y-conviviremos-con-robots-ray-hammond.html,Los ojos biónicos con alta resolución están disponibles comercialmente,T,https://www.quantumrun.com/future-timeline/2037
52,El mercado religioso seguirá incorporando nuevos productos todos los días.,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,China podría ser el país con más cristianos en 2030,T,https://www.ayudaalaiglesianecesitada.org/hemeroteca/china-podria-ser-el-pais-con-mas-cristianos-en-2030/,Nuestros hogares contarán con entretenimiento virtual,T,https://www.que.es/comunicados/en-2040-los-hogares-seran-fortalezas-digitales-y-conviviremos-con-robots-ray-hammond.html,Las líneas eléctricas y telefónicas se desmantelan en los países desarrollados debido a las comunicaciones inalámbricas y las tecnologías de transferencia de energía,T,https://www.quantumrun.com/future-timeline/2037
53,"La globalización estará en todos los órdenes de la vida social, y el religioso no estará exento de ese desarrollo.",T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,Las marcas de teléfonos móviles más famosas del mundo serán chinas y ejecutarán su propio sistema operativo,T,https://www.technologyreview.com/2020/02/26/905686/predictions-2030-people-shaping-the-world-davos/,Nuestros hogares contarán con experiencias educativas interactivas,T,https://www.que.es/comunicados/en-2040-los-hogares-seran-fortalezas-digitales-y-conviviremos-con-robots-ray-hammond.html,Mente / Conciencia cargando perfeccionado (estilo Matrix),T,https://www.quantumrun.com/future-timeline/2037
54,La Iglesia católica continuará como la que concentra más adeptos,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,"La impresión 3D, la automatización y la robótica provocarán una localización masiva de la fabricación.la industria de la moda rápida está en riesgo.",T,https://www.technologyreview.com/2020/02/26/905686/predictions-2030-people-shaping-the-world-davos/,Los sistemas de seguridad que se utilizarán para proteger los hogares en 2040 estarán basados en los datos biométricos de sus habitantes.,T,https://www.que.es/comunicados/en-2040-los-hogares-seran-fortalezas-digitales-y-conviviremos-con-robots-ray-hammond.html,El programa espacial de China rivaliza con la NASA,T,https://www.futuretimeline.net/21stcentury/2040-2049.htm
55,La diversificación religiosa mostrará un rostro de la democratización cultural de las sociedades,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol,Tu cerebro es la interfaz de usuario: el 59% de los consumidores cree que podemos ver rutas de mapas en visores de Realidad Virtual (VR) simplemente pensando en un destino.,T,https://www.ericsson.com/en/reports-and-papers/consumerlab/reports/10-hot-consumer-trends-2030,"Los viajes internacionales serán más rápidos, fáciles y sostenibles",T,https://www.hosteltur.com/133542_siete-tecnologias-que-transformaran-el-turismo-en-2040.html,La telepatía virtual domina las comunicaciones personales,T,https://www.futuretimeline.net/21stcentury/2040-2049.htm
56,Los nostálgicos de una supuesta identidad religiosa monolítica no se sentirán cómodos en un ambiente de intensa competencia religiosa,T,https://www.jornada.com.mx/2011/02/23/opinion/026a1pol, Suena como yo: el 67% cree que al usar un micrófono será capaz de asumir otra voz con tanto realismo que podría engañar a miembros de su propia familia.,T,https://www.ericsson.com/en/reports-and-papers/consumerlab/reports/10-hot-consumer-trends-2030,Los sistemas de reconocimiento facial controlarán nuestros pasaportes y tarjetas de embarque en vuelos,T,https://www.hosteltur.com/133542_siete-tecnologias-que-transformaran-el-turismo-en-2040.html,Misión NASA Urano,T,https://www.futuretimeline.net/21stcentury/2040-2049.htm
57,La religiosidad se practicará cada vez más fuera o en los márgenes de las instituciones o religiones,T,https://www.sinembargo.mx/15-06-2017/3241157,"3.- Cualquier sabor que quieras: el 44% predice un dispositivo para la boca que mejore digitalmente todo lo que se ingiera, para que cualquier comida pueda saber deliciosa.",T,https://www.ericsson.com/en/reports-and-papers/consumerlab/reports/10-hot-consumer-trends-2030,"El software de reconocimiento facial (FPR) escaneará imágenes de humanos y animales (software de reconocimiento de mascotas) dentro y fuera de la propiedad, para permitir el acceso a la casa sólo a quien tenga autorización",T,https://www.que.es/comunicados/en-2040-los-hogares-seran-fortalezas-digitales-y-conviviremos-con-robots-ray-hammond.html,Nacerá el primer humano en la luna,T,https://elfuturoesapasionante.elpais.com/en-el-2050-nacera-el-primer-humano-en-la-luna/
58,"La moralidad católica dejará, en gran medida, de ser la fuente de la moral social.",T,https://www.sinembargo.mx/15-06-2017/3241157,"4.- Aromas digital: alrededor de 6 entre cada 10 personas esperan poder visitar digitalmente los bosques o el campo, incluyendo la experiencia de percibir todos los olores naturales de esos lugares.",T,https://www.ericsson.com/en/reports-and-papers/consumerlab/reports/10-hot-consumer-trends-2030,Las experiencias virtuales serán nuestro día a día,T,https://www.hosteltur.com/133542_siete-tecnologias-que-transformaran-el-turismo-en-2040.html,Ingeniera diseña un vehículo para habitar la Luna en 2040,T,https://vanguardia.com.mx/articulo/ingeniera-disena-un-vehiculo-para-habitar-la-luna-en-2040
59,"la moral sexual pasará a ser, completamente, una discusión sobre derechos sobre el cuerpo, la sexualidad , la reproducción y la forma de organizar la vida familiar",T,https://www.sinembargo.mx/15-06-2017/3241157,5.- Tacto total: más de 6 entre cada 10 esperan teléfonos inteligentes con pantallas capaces de transmitir la forma y textura de los iconos y botones digitales que estén presionando.,T,https://www.ericsson.com/en/reports-and-papers/consumerlab/reports/10-hot-consumer-trends-2030,La tecnología de realidad virtual multisensorial permitirá a los viajeros más sedentarios adentrarse en diferentes experiencias,T,https://www.hosteltur.com/133542_siete-tecnologias-que-transformaran-el-turismo-en-2040.html,para 2040 podría haber una base lunar estable con 1.000 personas viviendo y trabajando allí,T,https://www.microsiervos.com/archivo/espacio/luna-2040-base-moon-valley.html
